point_id,premium_pp,pv_premiums,pv_claims,pv_expenses,pv_commissions,pv_net_cf
106,81.8000000000,7122.8440805745,4748.3155836304,755.7180513530,935.5181814909,683.2922641002
107,1.3800000000,120.4518526557,80.4232802134,756.8298005211,15.7848252917,-732.5860533705
108,0.6900000000,60.2081498303,40.0866899914,756.6918581469,7.8922723212,-744.4626706292
109,58.7700000000,7010.8307703101,4674.0632209103,937.8995482845,672.1889180043,726.6790831110
110,81.1900000000,11856.9945525709,7904.6075270021,1096.8788562489,928.6368070229,1926.8713622970
111,262.3100000000,37425.0944648784,24949.7243098098,1077.5309870471,2998.9109767972,8398.9281912243
112,69.0500000000,10068.9782094896,6713.0774591182,1095.6242774865,789.7564551133,1470.5200177716
113,116.7300000000,10162.0717175842,6774.6258597056,755.6102914559,1334.9823679767,1296.8531984459
114,59.7700000000,7139.3750123427,4759.3712903541,938.7575205857,683.6562132681,757.5899881348
115,176.7600000000,25494.0742553092,16995.9028385857,1086.4759890134,2021.2461069346,5390.4493207754
116,59.6200000000,7119.9024794084,4746.4364508086,938.6129255746,681.9354825734,752.9176204518
117,248.1100000000,35871.9408388220,23914.9452133437,1088.4939688877,2837.2627970220,8031.2388595687
118,79.7200000000,11620.5103777227,7746.7517130312,1095.3085042616,911.7869107251,1866.6632497049
119,47.6500000000,6950.8169387578,4633.9867700754,1095.9158827522,544.9988653563,675.9154205739
120,96.3200000000,8394.8506532375,5596.7880455861,756.1438402539,1101.6378066260,940.2809607715
121,46.1400000000,6716.7016488973,4477.3400487135,1094.1922130533,527.7055250046,617.4638621259
122,59.8300000000,7143.1733572293,4762.4304134762,938.4454697809,684.3316489745,757.9658249978
123,23.2100000000,2772.8988568454,1848.7982645169,938.8824522502,265.4803645180,-280.2622244397
124,73.9500000000,10802.2144613376,7201.7054101831,1097.0767788299,845.8312824064,1657.6009899182
125,334.7600000000,39320.8121841661,26213.6668066631,927.7291392802,3827.0374361095,8352.3788021133
126,4.7300000000,690.9327167292,460.4226619297,1097.0767788299,54.1011760079,-920.6679000382
127,154.4700000000,18362.9823191570,12242.0968709149,935.5962830805,1766.5698666662,3418.7192984953
128,4.1700000000,497.8611549331,331.7115710879,938.4454697809,47.6961888053,-819.9920747411
129,16.9200000000,1468.9241687734,979.1686501320,754.3228133681,193.4746843149,-458.0419790415
130,48.4600000000,5775.5502130199,3850.6924077840,937.2848285391,554.2500841891,433.3228925077
131,21.5900000000,2570.7713020945,1713.6011182313,936.6776962357,246.9232806607,-326.4307930332
132,69.9300000000,10221.2297033086,6813.9141220470,1097.5884505866,799.8615950412,1509.8655356338
133,51.0600000000,4446.1175886813,2964.0106593469,755.7180513530,583.9554810137,142.4333969677
134,66.0500000000,9623.9456532166,6415.6484229559,1094.9662915433,755.4316562256,1357.8992824919
135,12.3300000000,1464.2128232709,976.3487967163,934.9012987172,141.0052712892,-588.0425434517
136,59.3000000000,7080.8247969204,4720.7733457496,938.5322790142,678.2725326059,743.2466395507
137,101.1800000000,12038.6950724494,8026.1002990463,936.1820858981,1157.1605085971,1919.2521789078
138,94.4200000000,8197.1524831906,5464.8196284392,754.3228133681,1079.6619203909,898.3481209925
139,37.8500000000,3299.3209202654,2199.4323313942,756.2106627622,432.9043473525,-89.2264212436
140,13.9000000000,1212.8888154211,808.4149148261,756.6918581469,158.9892540061,-511.2072115580
